Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-07-07,8350.0,8353.2998046875,8287.5498046875,8323.2001953125,137900,0.0,0.0
2016-07-11,8502.599609375,8526.599609375,8479.2001953125,8521.0498046875,183600,0.0,0.0
2016-07-12,8540.4501953125,8550.25,8493.5498046875,8519.5,195500,0.0,0.0
2016-07-13,8515.75,8571.400390625,8500.7001953125,8565.0,153900,0.0,0.0
2016-07-14,8565.4501953125,8594.7998046875,8510.0498046875,8541.400390625,221700,0.0,0.0
2016-07-18,8514.2998046875,8540.0498046875,8476.7001953125,8528.5498046875,167900,0.0,0.0
2016-07-19,8515.4501953125,8569.900390625,8512.5498046875,8565.849609375,160300,0.0,0.0
2016-07-20,8582.7001953125,8585.25,8503.4501953125,8510.099609375,150000,0.0,0.0
2016-07-21,8519.650390625,8548.9501953125,8489.7998046875,8541.2001953125,143200,0.0,0.0
2016-07-25,8633.75,8644.900390625,8577.150390625,8590.650390625,154800,0.0,0.0
2016-07-26,8599.400390625,8665.0,8572.0498046875,8615.7998046875,184100,0.0,0.0
2016-07-27,8636.9501953125,8674.7001953125,8625.25,8666.2998046875,233500,0.0,0.0
2016-07-28,8668.2998046875,8670.349609375,8631.150390625,8638.5,157000,0.0,0.0
2016-08-01,8647.4501953125,8687.2001953125,8611.400390625,8622.900390625,169400,0.0,0.0
2016-08-02,8635.2001953125,8635.4501953125,8529.599609375,8544.849609375,163000,0.0,0.0
2016-08-03,8599.9501953125,8601.400390625,8518.150390625,8551.099609375,164700,0.0,0.0
2016-08-04,8600.2001953125,8689.400390625,8590.150390625,8683.150390625,157900,0.0,0.0
2016-08-08,8727.7998046875,8728.349609375,8638.2001953125,8678.25,200100,0.0,0.0
2016-08-09,8686.7001953125,8690.099609375,8564.599609375,8575.2998046875,173600,0.0,0.0
2016-08-10,8572.7998046875,8601.150390625,8540.0498046875,8592.150390625,189200,0.0,0.0
2016-08-15,8670.25,8682.349609375,8600.4501953125,8642.5498046875,224800,0.0,0.0
2016-08-16,8639.7998046875,8667.099609375,8603.599609375,8624.0498046875,174100,0.0,0.0
2016-08-17,8648.849609375,8690.7001953125,8645.0498046875,8673.25,164300,0.0,0.0
2016-08-18,8694.2998046875,8696.599609375,8647.099609375,8666.900390625,191900,0.0,0.0
2016-08-22,8628.349609375,8642.150390625,8580.0,8632.599609375,187500,0.0,0.0
2016-08-23,8648.5,8661.0498046875,8620.900390625,8650.2998046875,149600,0.0,0.0
2016-08-24,8668.849609375,8683.0498046875,8583.650390625,8592.2001953125,213100,0.0,0.0
2016-08-25,8614.349609375,8622.9501953125,8547.5498046875,8572.5498046875,147500,0.0,0.0
2016-08-29,8646.75,8750.599609375,8642.25,8744.349609375,150200,0.0,0.0
2016-08-30,8754.0498046875,8819.2001953125,8754.0498046875,8786.2001953125,362200,0.0,0.0
2016-08-31,8793.599609375,8813.25,8759.9501953125,8774.650390625,238900,0.0,0.0
2016-09-01,8796.349609375,8824.099609375,8768.2001953125,8809.650390625,191500,0.0,0.0
2016-09-06,8968.7001953125,8968.7001953125,8913.349609375,8917.9501953125,290100,0.0,0.0
2016-09-07,8915.5,8960.349609375,8896.0,8952.5,217200,0.0,0.0
2016-09-08,8934.2998046875,8939.150390625,8858.7001953125,8866.7001953125,175900,0.0,0.0
2016-09-13,8710.650390625,8739.849609375,8688.900390625,8726.599609375,184300,0.0,0.0
2016-09-14,8743.849609375,8751.9501953125,8704.349609375,8742.5498046875,145400,0.0,0.0
2016-09-15,8780.849609375,8847.650390625,8750.5,8779.849609375,265800,0.0,0.0
2016-09-19,8816.099609375,8816.4501953125,8759.2998046875,8775.900390625,136500,0.0,0.0
2016-09-20,8790.2998046875,8826.849609375,8757.2998046875,8777.150390625,148800,0.0,0.0
2016-09-21,8873.349609375,8893.349609375,8837.7998046875,8867.4501953125,172800,0.0,0.0
2016-09-22,8880.75,8885.2001953125,8820.2998046875,8831.5498046875,185900,0.0,0.0
2016-09-26,8748.900390625,8768.5,8690.5,8706.400390625,151400,0.0,0.0
2016-09-27,8711.2001953125,8767.0498046875,8703.150390625,8745.150390625,165500,0.0,0.0
2016-09-28,8792.7001953125,8800.650390625,8558.25,8591.25,372900,0.0,0.0
2016-09-29,8581.5,8637.150390625,8555.2001953125,8611.150390625,181700,0.0,0.0
2016-10-03,8770.0,8783.650390625,8736.099609375,8769.150390625,184300,0.0,0.0
2016-10-04,8806.349609375,8806.9501953125,8731.400390625,8743.9501953125,157200,0.0,0.0
2016-10-05,8768.7001953125,8781.150390625,8684.650390625,8709.5498046875,163600,0.0,0.0
2016-10-06,8721.7001953125,8723.7001953125,8663.7998046875,8697.599609375,150400,0.0,0.0
2016-10-12,8671.5,8681.5498046875,8541.349609375,8573.349609375,212300,0.0,0.0
2016-10-13,8594.0,8604.4501953125,8549.7998046875,8583.400390625,162800,0.0,0.0
